objective,dist_nm,idle_h,wait_h,fuel_mt,objective_value,solve_time_sec,n_samples
OBJ-A MinWait,0.0,108.8111111111111,1653.6077777777762,0.0,1653.6077777777762,0.0001201629638671875,336
OBJ-B MinIdle,0.0,108.8111111111111,1653.6077777777762,0.0,108.8111111111111,9.608268737792969e-05,336
"OBJ-C MinComposite(w2=0.5,w3=0.5)",0.0,108.8111111111111,1653.6077777777762,0.0,881.2094444444436,8.797645568847656e-05,336
OBJ-D MinAll(λ=1.0),0.0,108.8111111111111,1653.6077777777762,0.0,1762.4188888888873,9.202957153320312e-05,336
