기준예선,배정예선,선박명,From,작업 시작지,작업 종료지,To,실제 스케줄 시작 시각,실제 스케줄 종료 시각,작업까지 이동 거리(km),작업까지 이동 시간(분),작업중 이동 거리(km),작업중 이동 시간(분),도선사,톤수,선종,최종 스케줄 시각,최초 스케줄 시각,최초 작업시작지,최초 작업종료지,최초 예선,최초 도선사,AIS 파일명 target,AIS 파일명 tug
T,"T,R,해,진",SILVER SAFETY,연안부두정계지,PAL,50,연안부두정계지,2024-06-09T10:37:19.000Z,2024-06-09T11:22:19.000Z,2.5,19.0,4.8,40.0,US,7243,일반화물선,2024-06-09T09:30:00.000Z,2024-06-09T10:00:00.000Z,PAL,50,TR해진,,대창호_SILVER SAFETY_2024-06-09_target_11_aisData.csv,대창호_SILVER SAFETY_2024-06-09_tug_11_aisData.csv
I,"I,성",XIN MING ZHOU 20,송도정계지,NPPS,SNCT1,,2024-06-09T12:31:19.000Z,2024-06-09T12:41:19.000Z,5.6,21.0,1.3,18.0,CY,9653,풀컨테이너선,2024-06-09T12:00:00.000Z,2024-06-09T12:00:00.000Z,NPPS,SNCT1,I성,,쥬피터1호_XIN MING ZHOU 20_2024-06-09_target_12_aisData.csv,쥬피터1호_XIN MING ZHOU 20_2024-06-09_tug_12_aisData.csv
H,H,GSL DOROTHEA,연안부두정계지,HJIT2,NPPS,,2024-06-09T15:56:19.000Z,2024-06-09T16:33:19.000Z,20.3,59.0,0.5,32.0,JJ,66058,풀컨테이너선,2024-06-09T16:30:00.000Z,2024-06-09T15:00:00.000Z,HJIT2,NPPS,H,,한창1호_GSL DOROTHEA_2024-06-09_target_13_aisData.csv,한창1호_GSL DOROTHEA_2024-06-09_tug_13_aisData.csv
미,"미,O",UNIPOWER,연안부두정계지,N12,PAL,연안부두정계지,2024-06-09T16:20:18.000Z,2024-06-09T16:51:18.000Z,5.7,801.0,0.6,26.0,KK,8081,일반화물선,2024-06-09T16:40:00.000Z,2024-06-09T18:00:00.000Z,N12,PAL,미O,,뉴월미호_UNIPOWER_2024-06-09_target_14_aisData.csv,뉴월미호_UNIPOWER_2024-06-09_tug_14_aisData.csv
M,"M,R,해,진",VW SAFETY,연안부두정계지,PAL,50,연안부두정계지,2024-06-10T06:41:19.000Z,2024-06-10T07:25:19.000Z,2.1,9.0,5.1,39.0,CH,7141,일반화물선,2024-06-10T06:00:00.000Z,2024-06-10T06:00:00.000Z,PAL,50,MR해진,CH,뉴마스호_VW SAFETY_2024-06-10_target_15_aisData.csv,뉴마스호_VW SAFETY_2024-06-10_tug_15_aisData.csv
진,"T,진",XIN SHENG SHENG 6,,PAL,42,,2024-06-10T07:45:20.000Z,2024-06-10T08:31:20.000Z,1.5,13.0,2.9,41.0,CY,2995,일반화물선,2024-06-10T06:00:00.000Z,2024-06-10T06:00:00.000Z,PAL,42,T진,CY,뉴약진호_XIN SHENG SHENG 6_2024-06-10_target_16_aisData.csv,뉴약진호_XIN SHENG SHENG 6_2024-06-10_tug_16_aisData.csv
N,"N,O",OCEAN GAS,연안부두정계지,SKI 1,PAL,연안부두정계지,2024-06-10T08:50:20.000Z,2024-06-10T09:10:20.000Z,9.1,36.0,3.2,15.0,,3678,LPG 운반선,2024-06-10T09:00:00.000Z,2024-06-10T07:00:00.000Z,SKI 1,PAL,NO,,뉴엔젤호_OCEAN GAS_2024-06-10_target_17_aisData.csv,뉴엔젤호_OCEAN GAS_2024-06-10_tug_17_aisData.csv
H,H,HUADONG PEARL 8,연안부두정계지,PAL,NIPT5,,2024-06-10T09:48:19.000Z,2024-06-10T10:23:19.000Z,4.0,18.0,0.8,10.0,LY,35092,국제카페리,2024-06-10T09:10:00.000Z,2024-06-10T09:30:00.000Z,PAL,NIPT5,H,,한창1호_HUADONG PEARL 8_2024-06-10_target_18_aisData.csv,한창1호_HUADONG PEARL 8_2024-06-10_tug_18_aisData.csv
I,I,CONSISTENCE,송도정계지,HJIT1,NPPS,,2024-06-10T10:28:19.000Z,2024-06-10T11:16:19.000Z,8.5,180.0,0.0,43.0,UM,9972,풀컨테이너선,2024-06-10T11:00:00.000Z,2024-06-10T10:00:00.000Z,HJIT1,NPPS,I,,쥬피터1호_CONSISTENCE_2024-06-10_target_19_aisData.csv,쥬피터1호_CONSISTENCE_2024-06-10_tug_19_aisData.csv
I,"I,성",A ROKKO,,NPPS,HJIT1,,2024-06-10T12:36:19.000Z,2024-06-10T12:49:19.000Z,3.3,167.0,0.0,8.0,OS,9562,풀컨테이너선,2024-06-10T12:00:00.000Z,2024-06-10T12:00:00.000Z,NPPS,HJIT1,I성,,쥬피터1호_A ROKKO_2024-06-10_target_20_aisData.csv,쥬피터1호_A ROKKO_2024-06-10_tug_20_aisData.csv
I,"I,K",XIN HE DA,,HJIT1,NPPS,,2024-06-10T11:12:19.000Z,2024-06-10T12:34:19.000Z,0.0,2.0,0.1,77.0,GJ,7808,세미(혼재)컨테이너선,2024-06-10T15:00:00.000Z,2024-06-10T15:00:00.000Z,HJIT1,NPPS,IK,,쥬피터1호_XIN HE DA_2024-06-10_target_21_aisData.csv,쥬피터1호_XIN HE DA_2024-06-10_tug_21_aisData.csv
I,"I,K",KOREA VISION,,BUKJ2,E1GT,,2024-06-10T15:24:19.000Z,2024-06-10T16:13:19.000Z,4.5,191.0,1.7,44.0,KB,3872,LPG 운반선,2024-06-10T15:00:00.000Z,2024-06-10T15:00:00.000Z,BUKJ2,E1GT,IK,,쥬피터1호_KOREA VISION_2024-06-10_target_22_aisData.csv,쥬피터1호_KOREA VISION_2024-06-10_tug_22_aisData.csv
I,I,PEGASUS PROTO,,NPPS,SNCT1,,2024-06-10T16:43:19.000Z,2024-06-10T16:58:19.000Z,5.4,205.0,0.1,10.0,,18354,풀컨테이너선,2024-06-10T16:30:00.000Z,2024-06-10T17:00:00.000Z,NPPS,SNCT1,I,,쥬피터1호_PEGASUS PROTO_2024-06-10_target_23_aisData.csv,쥬피터1호_PEGASUS PROTO_2024-06-10_tug_23_aisData.csv
N,"성,N",AN DONG 68,연안부두정계지,SNCT2,NPPS,,2024-06-10T16:49:20.000Z,2024-06-10T17:06:20.000Z,20.9,122.0,0.1,5.0,HY,3988,세미(혼재)컨테이너선,2024-06-10T16:00:00.000Z,2024-06-10T07:00:00.000Z,NPPS,SNCT2,I성,JJ,뉴엔젤호_AN DONG 68_2024-06-10_target_24_aisData.csv,뉴엔젤호_AN DONG 68_2024-06-10_tug_24_aisData.csv
미,"W,미",YURIY TARAPUROV,북항임시정계지,N53,PAL,연안부두정계지,2024-06-10T16:06:19.000Z,2024-06-10T16:54:19.000Z,1.8,11.0,6.1,43.0,YM,7949,일반화물선,2024-06-10T16:30:00.000Z,2024-06-10T17:00:00.000Z,N53,PAL,EN,,뉴월미호_YURIY TARAPUROV_2024-06-10_target_25_aisData.csv,뉴월미호_YURIY TARAPUROV_2024-06-10_tug_25_aisData.csv
N,"W,N,진",XINXIWANGMINGYUAN,,N11,25,,2024-06-10T18:03:20.000Z,2024-06-10T18:42:20.000Z,21.2,80.0,4.7,34.0,SK,2589,일반화물선,2024-06-10T18:00:00.000Z,2024-06-10T18:00:00.000Z,N11,25,SN진,,뉴엔젤호_XINXIWANGMINGYUAN_2024-06-10_target_26_aisData.csv,뉴엔젤호_XINXIWANGMINGYUAN_2024-06-10_tug_26_aisData.csv
I,"성,I",ESTIMA,,NPPS,HJIT1,,2024-06-10T19:47:19.000Z,2024-06-10T20:05:19.000Z,6.8,482.0,0.9,13.0,LO,9587,풀컨테이너선,2024-06-10T19:00:00.000Z,2024-06-10T20:00:00.000Z,NPPS,HJIT1,성I,,쥬피터1호_ESTIMA_2024-06-10_target_27_aisData.csv,쥬피터1호_ESTIMA_2024-06-10_tug_27_aisData.csv
M,"W,M",ORIENTAL PARALLEL,연안부두정계지,N42,PAL,연안부두정계지,2024-06-10T19:53:19.000Z,2024-06-10T20:17:19.000Z,14.6,44.0,2.5,19.0,GJ,9780,일반화물선,2024-06-10T20:00:00.000Z,2024-06-10T23:00:00.000Z,N42,PAL,W미,,뉴마스호_ORIENTAL PARALLEL_2024-06-10_target_28_aisData.csv,뉴마스호_ORIENTAL PARALLEL_2024-06-10_tug_28_aisData.csv
미,"E,미",XIN YU JIN XIANG,연안부두정계지,NIPT6,PAL,연안부두정계지,2024-06-11T00:16:19.000Z,2024-06-11T00:48:19.000Z,6.1,22.0,3.6,27.0,KB,12304,국제카페리,2024-06-11T00:30:00.000Z,2024-06-11T00:30:00.000Z,NIPT6,PAL,E미,KB,뉴월미호_XIN YU JIN XIANG_2024-06-11_target_29_aisData.csv,뉴월미호_XIN YU JIN XIANG_2024-06-11_tug_29_aisData.csv
N,N,DB SUNNY,연안부두정계지,W4,HIT,연안부두정계지,2024-06-11T06:27:20.000Z,2024-06-11T07:02:20.000Z,7.1,58.0,3.0,30.0,,1599,케미칼 운반선,2024-06-11T06:00:00.000Z,2024-06-11T06:00:00.000Z,W4,HIT,N,,뉴엔젤호_DB SUNNY_2024-06-11_target_30_aisData.csv,뉴엔젤호_DB SUNNY_2024-06-11_tug_30_aisData.csv
I,"I,성",KOREA VISION,,E1GT,BUKJ2,송도정계지,2024-06-11T07:02:19.000Z,2024-06-11T07:15:19.000Z,2.5,247.0,0.1,8.0,NS,3872,LPG 운반선,2024-06-11T07:00:00.000Z,2024-06-11T07:00:00.000Z,E1GT,BUKJ2,I성,NS,쥬피터1호_KOREA VISION_2024-06-11_target_31_aisData.csv,쥬피터1호_KOREA VISION_2024-06-11_tug_31_aisData.csv
미,"E,미",BEI JIANG,연안부두정계지,PAL,KICT,연안부두정계지,2024-06-11T08:05:19.000Z,2024-06-11T08:34:19.000Z,24.0,91.0,2.9,24.0,SC,5250,일반화물선,2024-06-11T07:00:00.000Z,2024-06-11T07:00:00.000Z,PAL,KICT,E미,SC,뉴월미호_BEI JIANG_2024-06-11_target_32_aisData.csv,뉴월미호_BEI JIANG_2024-06-11_tug_32_aisData.csv
진,"윤,진",VW SAFETY,내항정계지,50,PAL,내항정계지,2024-06-11T06:45:20.000Z,2024-06-11T07:11:20.000Z,2.8,21.0,1.1,21.0,LO,7141,일반화물선,2024-06-11T07:00:00.000Z,2024-06-11T07:00:00.000Z,50,PAL,윤진,LO,뉴약진호_VW SAFETY_2024-06-11_target_33_aisData.csv,뉴약진호_VW SAFETY_2024-06-11_tug_33_aisData.csv
T,"T,G",ARAFURA LILY,연안부두정계지,PAL,NIPT6,연안부두정계지,2024-06-11T06:52:20.000Z,2024-06-11T07:20:20.000Z,7.4,35.0,2.2,23.0,CG,12335,국제카페리,2024-06-11T06:30:00.000Z,2024-06-11T06:30:00.000Z,PAL,NIPT6,TG,SK,대창호_ARAFURA LILY_2024-06-11_target_34_aisData.csv,대창호_ARAFURA LILY_2024-06-11_tug_34_aisData.csv
T,T,XIN XIANG XUE LAN,연안부두정계지,PAL,NIPT5,,2024-06-11T11:35:20.000Z,2024-06-11T11:45:20.000Z,4.0,17.0,3.0,33.0,GH,32729,국제카페리,2024-06-11T10:20:00.000Z,2024-06-11T10:30:00.000Z,PAL,NIPT5,T,,대창호_XIN XIANG XUE LAN_2024-06-11_target_35_aisData.csv,대창호_XIN XIANG XUE LAN_2024-06-11_tug_35_aisData.csv
I,"L,I",WAN HAI 317,송도정계지,NPPS,SNCT1,송도정계지,2024-06-11T12:32:20.000Z,2024-06-11T15:49:20.000Z,5.4,21.0,5.8,192.0,NS,27800,풀컨테이너선,2024-06-11T12:00:00.000Z,2024-06-11T12:00:00.000Z,NPPS,SNCT1,LI,,쥬피터1호_WAN HAI 317_2024-06-11_target_36_aisData.csv,쥬피터1호_WAN HAI 317_2024-06-11_tug_36_aisData.csv
진,진,XIN SHENG SHENG 6,내항정계지,42,PAL,,2024-06-11T15:39:20.000Z,2024-06-11T16:14:20.000Z,2.0,12.0,3.2,30.0,SC,2995,일반화물선,2024-06-11T16:00:00.000Z,2024-06-11T16:00:00.000Z,42,PAL,진,,뉴약진호_XIN SHENG SHENG 6_2024-06-11_target_37_aisData.csv,뉴약진호_XIN SHENG SHENG 6_2024-06-11_tug_37_aisData.csv
T,"T,R",ARAFURA LILY,연안부두정계지,NIPT6,PAL,,2024-06-11T16:31:20.000Z,2024-06-11T16:41:20.000Z,4.9,21.0,3.0,21.0,KB,12335,국제카페리,2024-06-11T16:30:00.000Z,2024-06-11T06:30:00.000Z,PAL,NIPT6,TG,SK,대창호_ARAFURA LILY_2024-06-11_target_38_aisData.csv,대창호_ARAFURA LILY_2024-06-11_tug_38_aisData.csv
동,"비,명,동",MANHASSET QUEEN,,73,PAL,,2024-06-11T17:33:20.000Z,2024-06-11T18:33:20.000Z,1.5,17.0,0.1,8.0,SK,36139,산물선(벌크선),2024-06-11T18:00:00.000Z,2024-06-11T18:00:00.000Z,73,PAL,비명동,,동보1호_MANHASSET QUEEN_2024-06-11_target_39_aisData.csv,동보1호_MANHASSET QUEEN_2024-06-11_tug_39_aisData.csv
진,"해,진",SUN OCEAN,내항정계지,30,LE,내항정계지,2024-06-11T22:58:20.000Z,2024-06-11T23:45:20.000Z,2.2,11.0,3.8,42.0,YM,5093,일반화물선,2024-06-11T23:30:00.000Z,2024-06-11T23:30:00.000Z,30,LE,해진,,뉴약진호_SUN OCEAN_2024-06-11_target_40_aisData.csv,뉴약진호_SUN OCEAN_2024-06-11_tug_40_aisData.csv
미,"미,R",FC DELLA,연안부두정계지,N-HOB,PAL,북항임시정계지,2024-06-11T21:15:19.000Z,2024-06-11T21:49:19.000Z,7.2,27.0,3.5,29.0,,4956,케미칼 운반선,2024-06-11T21:30:00.000Z,2024-06-11T12:00:00.000Z,PAL,N-HOB,OS,,뉴월미호_FC DELLA_2024-06-11_target_41_aisData.csv,뉴월미호_FC DELLA_2024-06-11_tug_41_aisData.csv
동,"동,진",SILVER SAFETY,내항정계지,50,PAL,,2024-06-11T21:00:20.000Z,2024-06-11T21:35:20.000Z,2.6,12.0,0.8,27.0,KU,7243,일반화물선,2024-06-11T21:30:00.000Z,2024-06-11T14:00:00.000Z,50,PAL,해진,,동보1호_SILVER SAFETY_2024-06-11_target_42_aisData.csv,동보1호_SILVER SAFETY_2024-06-11_tug_42_aisData.csv
N,"N,E",HONG YANG 28,연안부두정계지,PAL,E1CT,연안부두정계지,2024-06-12T02:40:20.000Z,2024-06-12T03:27:20.000Z,5.7,162.0,4.5,42.0,SK,11856,풀컨테이너선,2024-06-12T02:00:00.000Z,2024-06-12T02:00:00.000Z,PAL,E1CT,NE,SK,뉴엔젤호_HONG YANG 28_2024-06-12_target_43_aisData.csv,뉴엔젤호_HONG YANG 28_2024-06-12_tug_43_aisData.csv
미,"S,미",TIAN ZHUI,북항임시정계지,PAL,N42,연안부두정계지,2024-06-12T04:53:20.000Z,2024-06-12T05:37:20.000Z,7.3,33.0,4.9,39.0,CG,8574,산물선(벌크선),2024-06-12T04:00:00.000Z,2024-06-12T04:00:00.000Z,PAL,N42,S미,CG,뉴월미호_TIAN ZHUI_2024-06-12_target_44_aisData.csv,뉴월미호_TIAN ZHUI_2024-06-12_tug_44_aisData.csv
N,"N,O",KTS WHITE,,PAL,GSD,연안부두정계지,2024-06-12T09:50:21.000Z,2024-06-12T10:26:21.000Z,3.6,530.0,3.2,31.0,,2101,석유제품 운반선,2024-06-12T09:00:00.000Z,2024-06-12T09:00:00.000Z,PAL,GSD,NO,,뉴엔젤호_KTS WHITE_2024-06-12_target_45_aisData.csv,뉴엔젤호_KTS WHITE_2024-06-12_tug_45_aisData.csv
M,M,MORNING NURI,연안부두정계지,RHC,PAL,연안부두정계지,2024-06-12T17:46:21.000Z,2024-06-12T18:15:21.000Z,9.8,30.0,0.6,24.0,,5222,일반화물선,2024-06-12T18:00:00.000Z,2024-06-12T18:00:00.000Z,RHC,PAL,M,,뉴마스호_MORNING NURI_2024-06-12_target_46_aisData.csv,뉴마스호_MORNING NURI_2024-06-12_tug_46_aisData.csv
T,"A,T",JA YANG,연안부두정계지,PAL,HIDC,연안부두정계지,2024-06-12T20:04:21.000Z,2024-06-12T20:44:21.000Z,8.2,43.0,4.1,35.0,,4739,시멘트운반선,2024-06-12T19:30:00.000Z,2024-06-12T19:30:00.000Z,PAL,HIDC,AT,,대창호_JA YANG_2024-06-12_target_47_aisData.csv,대창호_JA YANG_2024-06-12_tug_47_aisData.csv
I,"I,L",SITC HAINAN,,NPPS,HJIT2,,2024-06-12T03:50:20.000Z,2024-06-12T05:01:20.000Z,3.1,30.0,2.4,66.0,GH,17119,풀컨테이너선,2024-06-12T03:30:00.000Z,2024-06-12T03:00:00.000Z,NPPS,HJIT2,IL,CN,쥬피터1호_SITC HAINAN_2024-06-12_target_48_aisData.csv,쥬피터1호_SITC HAINAN_2024-06-12_tug_48_aisData.csv
I,"I,K",BEI HAI,송도정계지,HJIT2,NPPS,,2024-06-12T03:28:20.000Z,2024-06-12T03:44:20.000Z,4.0,36.0,1.7,11.0,CN,5272,세미(혼재)컨테이너선,2024-06-12T03:30:00.000Z,2024-06-12T03:00:00.000Z,HJIT2,NPPS,IK,CG,쥬피터1호_BEI HAI_2024-06-12_target_49_aisData.csv,쥬피터1호_BEI HAI_2024-06-12_tug_49_aisData.csv
I,"I,성",REVERENCE,,NPPS,SNCT2,송도정계지,2024-06-12T05:20:20.000Z,2024-06-12T05:55:20.000Z,5.9,35.0,3.1,30.0,CN,9990,풀컨테이너선,2024-06-12T05:00:00.000Z,2024-06-12T05:00:00.000Z,NPPS,SNCT2,I성,HY,쥬피터1호_REVERENCE_2024-06-12_target_50_aisData.csv,쥬피터1호_REVERENCE_2024-06-12_tug_50_aisData.csv
I,"L,I",SITC ZHEJIANG,송도정계지,NPPS,HJIT1,송도정계지,2024-06-12T07:29:20.000Z,2024-06-12T08:44:20.000Z,4.9,20.0,5.2,70.0,JU,17119,풀컨테이너선,2024-06-12T07:00:00.000Z,2024-06-12T07:00:00.000Z,NPPS,HJIT1,LI,JH,쥬피터1호_SITC ZHEJIANG_2024-06-12_target_51_aisData.csv,쥬피터1호_SITC ZHEJIANG_2024-06-12_tug_51_aisData.csv
미,미,GRAND MUSE,연안부두정계지,PAL,N21,연안부두정계지,2024-06-12T09:38:20.000Z,2024-06-12T10:22:20.000Z,11.2,41.0,5.0,39.0,KU,1514,일반화물선,2024-06-12T08:30:00.000Z,2024-06-12T09:00:00.000Z,PAL,N21,미,,뉴월미호_GRAND MUSE_2024-06-12_target_52_aisData.csv,뉴월미호_GRAND MUSE_2024-06-12_tug_52_aisData.csv
T,"E,T",HONG YANG 28,,E1CT,PAL,,2024-06-12T07:38:20.000Z,2024-06-12T07:48:20.000Z,5.6,43.0,1.5,22.0,GH,11856,풀컨테이너선,2024-06-12T10:00:00.000Z,2024-06-12T02:00:00.000Z,PAL,E1CT,NE,SK,대창호_HONG YANG 28_2024-06-12_target_53_aisData.csv,대창호_HONG YANG 28_2024-06-12_tug_53_aisData.csv
진,"W,진",YUE XIANG,내항정계지,PAL,41,내항정계지,2024-06-12T11:45:21.000Z,2024-06-12T12:14:21.000Z,2.0,15.0,2.9,24.0,SK,1971,일반화물선,2024-06-12T10:00:00.000Z,2024-06-12T10:00:00.000Z,PAL,41,W진,,뉴약진호_YUE XIANG_2024-06-12_target_54_aisData.csv,뉴약진호_YUE XIANG_2024-06-12_tug_54_aisData.csv
I,"성,I",A ROKKO,송도정계지,NPPS,HJIT3,,2024-06-12T11:46:20.000Z,2024-06-12T15:57:21.000Z,3.5,17.0,0.1,10.0,GH,9562,풀컨테이너선,2024-06-12T11:30:00.000Z,2024-06-12T11:30:00.000Z,NPPS,HJIT3,성I,,쥬피터1호_A ROKKO_2024-06-12_target_55_aisData.csv,쥬피터1호_A ROKKO_2024-06-12_tug_55_aisData.csv
H,H,HUADONG PEARL 8,연안부두정계지,PAL,NIPT5,연안부두정계지,2024-06-12T08:51:20.000Z,2024-06-12T09:39:20.000Z,6.4,25.0,5.4,43.0,KB,35092,국제카페리,2024-06-12T08:20:00.000Z,2024-06-12T08:30:00.000Z,PAL,NIPT5,H,,한창1호_HUADONG PEARL 8_2024-06-12_target_56_aisData.csv,한창1호_HUADONG PEARL 8_2024-06-12_tug_56_aisData.csv
미,미,KAI AN 8,연안부두정계지,N52,PAL,연안부두정계지,2024-06-12T15:48:20.000Z,2024-06-12T16:21:20.000Z,15.3,73.0,5.8,28.0,JH,1448,일반화물선,2024-06-12T16:00:00.000Z,2024-06-12T16:00:00.000Z,N52,PAL,미,,뉴월미호_KAI AN 8_2024-06-12_target_57_aisData.csv,뉴월미호_KAI AN 8_2024-06-12_tug_57_aisData.csv
N,N,PEGASUS GLORY,연안부두정계지,PAL,E1CT,연안부두정계지,2024-06-12T21:08:21.000Z,2024-06-12T21:57:21.000Z,4.8,604.0,4.0,44.0,,9908,풀컨테이너선,2024-06-12T21:00:00.000Z,2024-06-12T18:00:00.000Z,PAL,E1CT,N,,뉴엔젤호_PEGASUS GLORY_2024-06-12_target_58_aisData.csv,뉴엔젤호_PEGASUS GLORY_2024-06-12_tug_58_aisData.csv
I,"I,L",CNC MARS,,NPPS,SNCT3,,2024-06-12T17:37:21.000Z,2024-06-12T17:47:21.000Z,0.8,9.0,0.0,8.0,NS,18652,풀컨테이너선,2024-06-12T17:00:00.000Z,2024-06-12T17:00:00.000Z,NPPS,SNCT3,IL,,쥬피터1호_CNC MARS_2024-06-12_target_59_aisData.csv,쥬피터1호_CNC MARS_2024-06-12_tug_59_aisData.csv
I,I,A ROKKO,,HJIT3,NPPS,,2024-06-12T18:06:21.000Z,2024-06-12T19:46:21.000Z,9.9,404.0,2.5,95.0,NS,9562,풀컨테이너선,2024-06-12T19:00:00.000Z,2024-06-12T11:30:00.000Z,NPPS,HJIT3,성I,,쥬피터1호_A ROKKO_2024-06-12_target_60_aisData.csv,쥬피터1호_A ROKKO_2024-06-12_tug_60_aisData.csv
M,"B,M",MORNING VICTORY,,PAL,RHC,연안부두정계지,2024-06-12T20:25:21.000Z,2024-06-12T21:01:21.000Z,3.6,14.0,4.2,31.0,,5222,시멘트운반선,2024-06-12T19:30:00.000Z,2024-06-12T19:30:00.000Z,PAL,RHC,RM,,뉴마스호_MORNING VICTORY_2024-06-12_target_61_aisData.csv,뉴마스호_MORNING VICTORY_2024-06-12_tug_61_aisData.csv
미,"S,미",TY XU RUI,연안부두정계지,PAL,N21,북항임시정계지,2024-06-13T04:10:20.000Z,2024-06-13T04:55:20.000Z,5.8,21.0,3.4,40.0,CG,8393,일반화물선,2024-06-13T03:00:00.000Z,2024-06-13T03:00:00.000Z,PAL,N21,S미,CG,뉴월미호_TY XU RUI_2024-06-13_target_62_aisData.csv,뉴월미호_TY XU RUI_2024-06-13_tug_62_aisData.csv
M,"R,M",KEUN YANG,연안부두정계지,PAL,SSC,연안부두정계지,2024-06-13T07:00:21.000Z,2024-06-13T07:22:21.000Z,10.4,52.0,1.6,17.0,,5996,시멘트운반선,2024-06-13T06:30:00.000Z,2024-06-13T06:30:00.000Z,PAL,SSC,RM,,뉴마스호_KEUN YANG_2024-06-13_target_63_aisData.csv,뉴마스호_KEUN YANG_2024-06-13_tug_63_aisData.csv
I,"L,I",CNC MARS,,SNCT3,NPPS,,2024-06-13T03:22:21.000Z,2024-06-13T03:32:21.000Z,0.0,0.0,0.0,5.0,SK,18652,풀컨테이너선,2024-06-13T03:00:00.000Z,2024-06-13T03:00:00.000Z,SNCT3,NPPS,LK,SK,쥬피터1호_CNC MARS_2024-06-13_target_64_aisData.csv,쥬피터1호_CNC MARS_2024-06-13_tug_64_aisData.csv
미,"W,미",POLARIS,북항임시정계지,E5,SKI 4,연안부두정계지,2024-06-13T07:12:20.000Z,2024-06-13T07:59:20.000Z,7.6,29.0,4.1,42.0,CN,11290,원유운반선,2024-06-13T06:30:00.000Z,2024-06-13T06:30:00.000Z,E5,SKI 4,W미,,뉴월미호_POLARIS_2024-06-13_target_65_aisData.csv,뉴월미호_POLARIS_2024-06-13_tug_65_aisData.csv
진,진,XINXIWANGMINGYUAN,내항정계지,25,PAL,내항정계지,2024-06-13T06:30:21.000Z,2024-06-13T07:14:22.000Z,2.5,12.0,2.8,39.0,JH,2589,일반화물선,2024-06-13T07:00:00.000Z,2024-06-13T07:00:00.000Z,25,PAL,진,,뉴약진호_XINXIWANGMINGYUAN_2024-06-13_target_66_aisData.csv,뉴약진호_XINXIWANGMINGYUAN_2024-06-13_tug_66_aisData.csv
T,"E,T",TS BANGKOK,연안부두정계지,PAL,ICT1,연안부두정계지,2024-06-13T08:01:21.000Z,2024-06-13T08:49:21.000Z,5.6,32.0,3.4,43.0,KN,17449,풀컨테이너선,2024-06-13T07:30:00.000Z,2024-06-13T07:30:00.000Z,PAL,ICT1,ET,,대창호_TS BANGKOK_2024-06-13_target_67_aisData.csv,대창호_TS BANGKOK_2024-06-13_tug_67_aisData.csv
N,"W,N",WOO CHAN,연안부두정계지,PAL,SOD1,연안부두정계지,2024-06-13T08:26:21.000Z,2024-06-13T09:09:21.000Z,2.3,19.0,2.9,38.0,GH,8539,케미칼 운반선,2024-06-13T08:00:00.000Z,2024-06-13T08:00:00.000Z,PAL,SOD1,AN,,뉴엔젤호_WOO CHAN_2024-06-13_target_68_aisData.csv,뉴엔젤호_WOO CHAN_2024-06-13_tug_68_aisData.csv
M,M,XIN XIANG XUE LAN,연안부두정계지,PAL,NIPT5,,2024-06-13T11:24:21.000Z,2024-06-13T11:34:21.000Z,4.6,16.0,4.8,34.0,SK,32729,국제카페리,2024-06-13T10:30:00.000Z,2024-06-13T10:30:00.000Z,PAL,NIPT5,M,,뉴마스호_XIN XIANG XUE LAN_2024-06-13_target_69_aisData.csv,뉴마스호_XIN XIANG XUE LAN_2024-06-13_tug_69_aisData.csv
동,"윤,해,동",SEAWAYS TITAN,,65,DONG,,2024-06-13T11:32:21.000Z,2024-06-13T11:52:21.000Z,2.6,21.0,0.5,15.0,CG,29305,케미칼 운반선,2024-06-13T12:00:00.000Z,2024-06-13T12:00:00.000Z,65,DONG,윤해동,,동보1호_SEAWAYS TITAN_2024-06-13_target_70_aisData.csv,동보1호_SEAWAYS TITAN_2024-06-13_tug_70_aisData.csv
미,"미,W,윤,진",MASAKAZU,연안부두정계지,PAL,32,연안부두정계지,2024-06-13T16:59:22.000Z,2024-06-13T17:10:21.000Z,15.9,55.0,4.0,27.0,CG,5543,일반화물선,2024-06-13T15:30:00.000Z,2024-06-13T15:00:00.000Z,PAL,32,미W윤진,,뉴월미호_MASAKAZU_2024-06-13_target_71_aisData.csv,뉴월미호_MASAKAZU_2024-06-13_tug_71_aisData.csv
T,"E,T",KEOJE CORDELIA,연안부두정계지,PAL,N-HOB,연안부두정계지,2024-06-13T16:56:21.000Z,2024-06-13T17:36:21.000Z,11.9,51.0,3.4,35.0,HY,8689,석유제품 운반선,2024-06-13T16:00:00.000Z,2024-06-13T17:30:00.000Z,PAL,N-HOB,SN,,대창호_KEOJE CORDELIA_2024-06-13_target_72_aisData.csv,대창호_KEOJE CORDELIA_2024-06-13_tug_72_aisData.csv
진,진,YUE XIANG,,41,PAL,내항정계지,2024-06-13T17:45:22.000Z,2024-06-13T19:18:22.000Z,1.6,21.0,4.5,88.0,HY,1971,일반화물선,2024-06-13T19:00:00.000Z,2024-06-13T19:00:00.000Z,41,PAL,진,,뉴약진호_YUE XIANG_2024-06-13_target_73_aisData.csv,뉴약진호_YUE XIANG_2024-06-13_tug_73_aisData.csv
