배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
"N,Q",WOO CHOON,GSD,PAL,2024-06-09T10:00:00.000Z,,3969
"O,W",ORIENTAL PARALLEL,PAL,N42,2024-06-09T05:30:00.000Z,KI,9780
"M,R",JINYANG,PAL,SSC,2024-06-09T04:30:00.000Z,,6200
"K,성",YA LU JIANG,NPPS,SNCT2,2024-06-09T08:00:00.000Z,,5250
"F2,J,C,비,명",GRAND VISION,PAL,53,2024-06-09T03:30:00.000Z,YM,47077
"N,S",BAL STAR,E1CT,PAL,2024-06-09T02:00:00.000Z,KX,7409
"성,I",CONSISTENCE,NPPS,HJIT1,2024-06-09T21:30:00.000Z,,9972
M,KMTC TAIPEIS,ICT1,PAL,2024-06-09T18:00:00.000Z,,18370
미,SOONI,PAL,N31,2024-06-09T16:00:00.000Z,,2715
"V,E",OCEAN VIRGINIA,N11,DONG,2024-06-09T13:00:00.000Z,,23573
"L,F2,B,비,명",GOOD LUCK,LEN,43,2024-06-09T06:30:00.000Z,JH,41074
"Q,W",DOOLA #7,PAL,N-HOB,2024-06-09T10:00:00.000Z,,6402
E,SAMPYO 5,PAL,SAMPYO,2024-06-09T05:30:00.000Z,,7271
"S,미",SEONGHO PIOCE,SKI 2,E4,2024-06-09T05:00:00.000Z,RW,3698
W,FC GRACE,N-HOB,PAL,2024-06-09T10:00:00.000Z,,4960
"E,T",SAMPYO 1,SAMPYO,PAL,2024-06-09T04:00:00.000Z,,7123
성,PEGASUS DREAM,HJIT3,NPPS,2024-06-09T07:00:00.000Z,,9924
"비,명,동",TRIGON TRADER,20,PAL,2024-06-09T03:00:00.000Z,KI,35906
"비,명,동",G POSEIDON,60,PAL,2024-06-09T01:00:00.000Z,YM,72408
"O,W",SJ HOPE,PAL,SOD1,2024-06-09T17:30:00.000Z,,5025
S,XINXIWANGMINGYUAN,PAL,N11,2024-06-09T22:00:00.000Z,,2589
"W,미",ORIENTAL PARALLEL,N42,PAL,2024-06-10T23:00:00.000Z,,9780
"H,T",BRAVE OCEAN,W10,SKI 2,2024-06-10T19:00:00.000Z,,26328
T,SAMPYO 5,SAMPYO,PAL,2024-06-10T18:00:00.000Z,,7271
"E,N",YURIY TARAPUROV,N53,PAL,2024-06-10T17:00:00.000Z,,7949
"F3,L",KMTC SEOUL,NPPS,HJIT2,2024-06-10T15:00:00.000Z,,27997
H,JINYANG,SSC,PAL,2024-06-10T07:00:00.000Z,,6200
W,GUANG XING,N52,PAL,2024-06-10T14:00:00.000Z,,1970
"O,W",WOOLIM #3,SKI 2,PAL,2024-06-10T06:00:00.000Z,JJ,8072
"M,R,해,진",VW SAFETY,PAL,50,2024-06-10T06:00:00.000Z,CH,7141
"I,성",A ROKKO,NPPS,HJIT1,2024-06-10T12:00:00.000Z,,9562
S,PILLOS 1,E3,HIT,2024-06-10T05:00:00.000Z,,1899
H,HUADONG PEARL 8,PAL,NIPT5,2024-06-10T09:30:00.000Z,,35092
"성,I",ESTIMA,NPPS,HJIT1,2024-06-10T20:00:00.000Z,,9587
E,수성 2,PAL,SAMPYO,2024-06-10T18:30:00.000Z,,5963
"G,T",ASTORIA BAY,N13,PAL,2024-06-10T18:00:00.000Z,,26402
I,PEGASUS PROTO,NPPS,SNCT1,2024-06-10T17:00:00.000Z,,18354
"I,K",XIN HE DA,HJIT1,NPPS,2024-06-10T15:00:00.000Z,,7808
