배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
F3,INCHEON VOYAGER,HJIT3,NPPS,2024-06-15T07:00:00.000Z,,27828
"O,S,동,진",GAIN OCEAN,PAL,44,2024-06-15T03:30:00.000Z,OS,4912
"N,W",WOO SEOK,SKI 2,PAL,2024-06-15T06:00:00.000Z,,2362
"미,S",KS HONOR,PAL,SKI 2,2024-06-15T19:30:00.000Z,,7057
"Z,J",YM CELEBRITY,PAL,ICT2,2024-06-15T17:30:00.000Z,,32720
"I,K",XIN HE DA,NPPS,HJIT1,2024-06-15T13:30:00.000Z,,7808
"T,R",LINA,PAL,SAMPYO,2024-06-15T10:30:00.000Z,,6983
"F3,D",GNS HARMONY,YHD1,DONG,2024-06-15T10:00:00.000Z,CN,43462
S,HE ZHONG 7,PAL,HIT,2024-06-15T05:30:00.000Z,KB,2028
"R,T",HALLA FRONTIER,PAL,RHC,2024-06-15T09:30:00.000Z,,4881
"K,성",XIN TAI PING,HJIT2,NPPS,2024-06-15T04:00:00.000Z,KB,5275
W,DOOLA #7,N-HOB,PAL,2024-06-15T09:00:00.000Z,,6402
"E,미",CS SUMMER,W4,SKI 4,2024-06-15T07:50:00.000Z,SK,7675
"F2,G",OKEE JOHNT,W2,SKI 1,2024-06-15T03:30:00.000Z,LY,31433
"I,K",YUAN XIANG FEN JIN,SNCT2,NPPS,2024-06-15T07:00:00.000Z,SK,15523
Q,XIN HAI 78,PAL,N43,2024-06-15T01:30:00.000Z,HY,2972
"Z,V",SINLAU BULKER,JANG,N21,2024-06-15T19:30:00.000Z,,21574
"S,Q",WOO HYEON,PAL,SOD1,2024-06-15T16:30:00.000Z,,1975
"I,K",SITC HENGDE,NPPS,HJIT3,2024-06-15T11:00:00.000Z,,18820
E,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-15T10:30:00.000Z,,32729
Z,BIRYONG,PAL,NIPT2,2024-06-15T09:30:00.000Z,LY,14614
"미,O",SEONGHO PIOCE,SKI 4,PAL,2024-06-15T05:30:00.000Z,JU,3698
"E,M",SHIN YANG,PAL,SSC,2024-06-15T09:30:00.000Z,,6422
L,STARSHIP TAURUS,NPPS,SNCT1,2024-06-15T04:00:00.000Z,,18064
"X,Y,송,C",HYUNDAI  COSMOPIA,LNG1,DONG,2024-06-15T09:00:00.000Z,HY,113998
"N,Q",HAN YU DREAM,GSD,PAL,2024-06-15T07:30:00.000Z,,2114
"미,W",KOOKYANG EXPRESS,PAL,N12,2024-06-15T03:30:00.000Z,JU,8739
"O,E",DL RUBY,PAL,SKI 2,2024-06-15T06:30:00.000Z,,6716
I,DONGJIN CONTINENTAL,NPPS,HJIT2,2024-06-15T16:00:00.000Z,,9946
"C,E",SITC YUNCHENG,PAL,ICT1,2024-06-15T23:30:00.000Z,,26771
"L,J",XIN CHI WAN,NPPS,SNCT1,2024-06-16T08:00:00.000Z,BJ,66452
Q,우성,PAL,HIT,2024-06-16T06:00:00.000Z,,1998
"T,W",SKY VICTORIA,PAL,E1CT,2024-06-16T10:00:00.000Z,,9592
성,HEUNG-A AKITA,NPPS,HJIT2,2024-06-16T02:00:00.000Z,,9998
"Z,G,A,비,명",GLOVIS COMPANION,PAL,52,2024-06-16T09:30:00.000Z,,60213
"I,K",REVERENCE,NPPS,SNCT2,2024-06-16T00:30:00.000Z,JU,9990
미,SKOON A,PAL,N16,2024-06-16T09:00:00.000Z,,2972
"I,K",SITC CHANGMING,NPPS,HJIT1,2024-06-16T07:00:00.000Z,KU,29274
Q,FC GRACE,N-HOB,PAL,2024-06-16T05:00:00.000Z,,4960
I,DONGJIN CONTINENTAL,HJIT2,NPPS,2024-06-16T10:00:00.000Z,,9946
I,SITC HENGDE,HJIT3,NPPS,2024-06-16T02:00:00.000Z,JU,18820
"O,W",BBC DIRECTION,PAL,N15,2024-06-16T09:00:00.000Z,,7223
"F3,M,A,비,동",WOOYANG CLES,LEN,22,2024-06-16T08:30:00.000Z,KN,26303
"I,K",XIN HE DA,HJIT1,NPPS,2024-06-16T07:00:00.000Z,BJ,7808
"S,R",CS SUMMER,SKI 4,PAL,2024-06-16T05:00:00.000Z,KU,7675
R,HALLA FRONTIER,RHC,PAL,2024-06-16T10:00:00.000Z,,4881
"S,N",KEOJE CORDELIA,PAL,N-HOB,2024-06-16T04:30:00.000Z,KB,8689
"Q,S,동,진",GOLD EAGLE,PAL,43,2024-06-16T10:00:00.000Z,,5580
"W,N",KOOKYANG EXPRESS,N12,PAL,2024-06-16T01:00:00.000Z,BC,8739
N,XIN QUAN,PAL,N44,2024-06-16T09:00:00.000Z,,2982
"K,I",KMTC TOKYO,NPPS,HJIT3,2024-06-16T17:00:00.000Z,,17853
"I,K",CONSISTENCE,NPPS,HJIT1,2024-06-16T23:30:00.000Z,,9972
"R,T",SHIN YANG,SSC,PAL,2024-06-16T15:00:00.000Z,,6422
"비,명,해",TORTUGAS,53,PAL,2024-06-16T21:00:00.000Z,,61321
E,XIN HAI 78,N43,PAL,2024-06-16T12:00:00.000Z,,2972
D,YM CELEBRITY,ICT2,PAL,2024-06-16T20:00:00.000Z,,32720
"T,R",LINA,SAMPYO,PAL,2024-06-16T11:00:00.000Z,,6983
"D,B,V",PAN IRIS,YHD3,DONG,2024-06-16T10:30:00.000Z,,92370
S,WOO HYEON,SOD1,PAL,2024-06-16T10:30:00.000Z,,1975
성,K GAS,PAL,E1GT,2024-06-16T20:00:00.000Z,,1002
"L,H",POS HOCHIMINH,NPPS,SNCT2,2024-06-16T17:00:00.000Z,,18085
"S,미",KS HONOR,SKI 2,PAL,2024-06-16T21:30:00.000Z,,7057
"N,O,O,진",VW FORTUNE,PAL,50,2024-06-16T13:30:00.000Z,,6566
"W,O",OCEAN GAS,PAL,SKI 1,2024-06-16T20:45:00.000Z,,3678
"F3,M",SUNRISE GLORY,SKI 3,DONG,2024-06-16T12:00:00.000Z,,29649
"F2,C,D,J",F.SUN,JANG,YHD2,2024-06-16T11:00:00.000Z,,93152
"송,X,Y,L",SOLARIS,JANG,LNG1,2024-06-16T10:30:00.000Z,,98075
"M,E",한라 3호,PAL,RHC,2024-06-16T10:00:00.000Z,,4881
"L,I",YA LU JIANG,NPPS,SNCT3,2024-06-16T18:00:00.000Z,,5250
"O,진",GAIN OCEAN,44,PAL,2024-06-16T17:00:00.000Z,,4912
S,XIN HAI59,PAL,N13,2024-06-16T21:00:00.000Z,,2995
"G,E,T,비,명",SPRING BREEZE,LEN,42,2024-06-16T12:30:00.000Z,,21699
"J,Z",OKEE JOHNT,SKI 1,DONG,2024-06-16T20:30:00.000Z,,31433
T,SAMPYO 5,PAL,SAMPYO,2024-06-16T11:30:00.000Z,,7271
"F1,H,B,V",THALASSINI NIKI,YHD2,YHD3,2024-06-16T11:00:00.000Z,,93245
"Z,A",KOREA VENUS,PAL,GS-HD,2024-06-16T10:30:00.000Z,,39543
"미,성",FC DELLA,PAL,N-HOB,2024-06-16T21:00:00.000Z,,4956
K,K GAS,E1GT,BUKJ2,2024-06-17T05:30:00.000Z,,1002
L,KMTC TOKYO,HJIT3,NPPS,2024-06-17T04:00:00.000Z,JU,17853
A,SITC YUNCHENG,ICT1,PAL,2024-06-17T01:30:00.000Z,GJ,26771
"송,X,Y,C",SOLARIS,LNG1,DONG,2024-06-17T13:00:00.000Z,,98075
"T,R",HALLA NO.2,PAL,RHC,2024-06-17T12:00:00.000Z,,4881
"I,성",POS GUANGZHOU,NPPS,SNCT2,2024-06-17T18:00:00.000Z,,9969
"A,E",ARDMORE EXPLORER,JANG,SKI 3,2024-06-17T10:30:00.000Z,,29993
"E,미",XIN YU JIN XIANG,PAL,NIPT6,2024-06-17T15:00:00.000Z,,12304
"성,K",AN DONG 68,NPPS,SNCT1,2024-06-17T10:00:00.000Z,,3988
"R,W",FC DELLA,N-HOB,PAL,2024-06-17T09:00:00.000Z,,4956
"I,성",STAR CHALLENGER,NPPS,SNCT3,2024-06-17T06:00:00.000Z,KB,9955
"Q,S",SJ HOPE,PAL,KAL,2024-06-17T05:30:00.000Z,JU,5025
"비,명,해",TORTUGAS,53,PAL,2024-06-17T04:00:00.000Z,KB,61321
"W,N",BAO HONG 8,PAL,N12,2024-06-17T01:00:00.000Z,SK,4517
K,POS HOCHIMINH,SNCT2,NPPS,2024-06-17T12:00:00.000Z,,18085
"N,E",TY XU RUI,N21,PAL,2024-06-17T20:00:00.000Z,,8393
T,한라 3호,RHC,PAL,2024-06-17T11:00:00.000Z,,4881
"F1,Z",PETREL PACIFIC,JANG,SKI 1,2024-06-17T16:30:00.000Z,,29403
"F1,G",KOREA VENUS,GS-HD,PAL,2024-06-17T10:30:00.000Z,,39543
K,CONSISTENCE,HJIT2,NPPS,2024-06-17T14:00:00.000Z,,9972
"B,L",XIN CHI WAN,SNCT1,NPPS,2024-06-17T10:00:00.000Z,,66452
"S,미",OCEAN GAS,SKI 1,PAL,2024-06-17T08:00:00.000Z,,3678
"E,N",WOOLIM DRAGON,PAL,SOD1,2024-06-17T06:00:00.000Z,SK,5197
"A,J,F1,비,명",LIBERTY KING,PAL,60,2024-06-17T04:30:00.000Z,BJ,55729
"F1,G,Z,비,명",SANG SHIN,PAL,52,2024-06-17T01:30:00.000Z,CG,50308
"L,I",A ROKKO,NPPS,HJIT3,2024-06-17T13:00:00.000Z,,9562
"F2,V,H,J",F.SUN,JANG,YHD2,2024-06-17T12:00:00.000Z,,93152
"미,S",KWANGYANG FRONTIER,PAL,60,2024-06-17T19:30:00.000Z,,4388
"L,I",XIN MING ZHOU 20,NPPS,SNCT2,2024-06-17T10:30:00.000Z,,9653
"S,N",WOO SEOK,PAL,SKI 2,2024-06-17T15:00:00.000Z,,2362
"S,R",FC GRACE,PAL,N-HOB,2024-06-17T10:00:00.000Z,,4960
D,HUADONG PEARL 8,PAL,NIPT5,2024-06-17T09:00:00.000Z,,35092
"성,K",YA LU JIANG,SNCT3,NPPS,2024-06-17T06:00:00.000Z,KN,5250
"D,M,V,비,명",EMMA OLDENDORFF,PAL,72,2024-06-17T23:30:00.000Z,,25431
K,PEGASUS PETA,NPPS,HJIT2,2024-06-17T22:00:00.000Z,,9988
"비,명,해",HOANH SON PLANET,72,DONG,2024-06-17T23:00:00.000Z,,39964
"윤,진",MASAKAZU,34,PAL,2024-06-17T23:00:00.000Z,,5543
O,ZE FENG,PAL,N43,2024-06-17T23:00:00.000Z,,1498
"S,N",VICTORY STAR,PAL,E1CT,2024-06-17T23:00:00.000Z,,7406
"W,진",BR FAIRY,PAL,30,2024-06-17T18:00:00.000Z,,2509
T,SAMPYO 5,SAMPYO,PAL,2024-06-17T23:30:00.000Z,,7271
"Q,S",WOO SEOK,SKI 2,PAL,2024-06-18T09:00:00.000Z,,2362
W,SOONI,PAL,N31,2024-06-18T05:00:00.000Z,,2715
L,POS GUANGZHOU,SNCT3,NPPS,2024-06-18T07:30:00.000Z,OS,9969
"N,R",WOOLIM DRAGON,SOD1,E4,2024-06-18T04:00:00.000Z,JU,5197
"T,R",HALLA NO.2,PAL,RHC,2024-06-18T00:50:00.000Z,JH,4881
"E,Z",JINYANG,PAL,SSC,2024-06-18T00:40:00.000Z,US,6200
"S,R",WOO DONG,PAL,SOD1,2024-06-18T07:30:00.000Z,,8581
"I,K",BEI HAI,NPPS,HJIT2,2024-06-18T07:00:00.000Z,JH,5272
"비,명,해",HOANH SON PLANET,72,DONG,2024-06-18T10:30:00.000Z,,39964
"N,Q",SJ HOPE,KAL,PAL,2024-06-18T06:00:00.000Z,CH,5025
"Y,송,X,D",MARAN GAS AMPHIPOLIS,JANG,LNG2,2024-06-18T08:00:00.000Z,KI,113037
"B,R",ARDMORE EXPLORER,SKI 3,DONG,2024-06-18T05:00:00.000Z,CG,29993
"C,L,F1",MERCATOR,JANG,E1GT,2024-06-18T03:45:00.000Z,OS,52121
"T,E",XIN YU JIN XIANG,NIPT6,PAL,2024-06-18T00:50:00.000Z,KI,12304
"R,M",JA YANG,PAL,HIDC,2024-06-18T00:30:00.000Z,,4739
"N,W",FC DELLA,PAL,N-HOB,2024-06-18T07:00:00.000Z,,4956
R,VICTORY STAR,E1CT,PAL,2024-06-18T07:00:00.000Z,LY,7406
R,BIRYONG,PAL,NIPT2,2024-06-18T09:30:00.000Z,,14614
S,PILLOS 1,E2,HIT,2024-06-18T05:45:00.000Z,,1899
"I,성",XIN MING ZHOU 20,SNCT2,NPPS,2024-06-18T07:30:00.000Z,SC,9653
"H,J",SINLAU BULKER,N21,DONG,2024-06-18T05:00:00.000Z,NS,21574
"A,M",수성 2,PAL,SAMPYO,2024-06-18T01:00:00.000Z,,5963
"윤,W",BEI JIANG,PAL,KICT,2024-06-18T00:40:00.000Z,BC,5250
"B,M,E,비,명",SWIFT ARROW,PAL,21,2024-06-18T07:00:00.000Z,JJ,28157
"T,S",ARAFURA LILY,PAL,NIPT6,2024-06-18T06:30:00.000Z,US,12335
"A,R",XUTRA BHUM,PAL,ICT2,2024-06-18T23:00:00.000Z,,24181
"N,O",DL AMBER,PAL,SKI 2,2024-06-18T17:30:00.000Z,,7333
M,HARMONY YUN GANG,PAL,NIPT1,2024-06-18T16:30:00.000Z,,35187
N,SKOON A,N16,PAL,2024-06-18T14:00:00.000Z,,2972
O,XINQUAN,N44,PAL,2024-06-18T11:30:00.000Z,,2982
"미,S",NEWZENBERG,N45,PAL,2024-06-18T18:00:00.000Z,,4801
W,XIN HAI59,N13,PAL,2024-06-18T17:00:00.000Z,,2995
"윤,진",MASAKAZU,34,PAL,2024-06-18T15:00:00.000Z,,5543
"H,E",HENG LI,CP,PAL,2024-06-18T12:00:00.000Z,,24550
"D,M,A,비,명",EMMA OLDENDORFF,PAL,72,2024-06-18T11:00:00.000Z,,25431
"동,진",KWANGYANG FRONTIER,60,PAL,2024-06-18T18:00:00.000Z,,4388
W,XIN HAI 699,PAL,N12,2024-06-18T16:30:00.000Z,,2995
S,ZE FENG,N42,PAL,2024-06-18T15:00:00.000Z,,1498
"F3,Z,G,V,F2,G,V,F3",EAGLE VICTORIA,JANG,SKI 3,2024-06-18T11:30:00.000Z,,154163
M,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-18T10:30:00.000Z,,32729
미,HIROAN,PAL,N22,2024-06-18T23:00:00.000Z,,1528
"성,Q",EXPRESS STAR,PAL,N21,2024-06-18T22:00:00.000Z,,5138
"S,N",WOOLIM 7,PAL,SKI 4,2024-06-18T17:30:00.000Z,,8072
"S,미",FC GRACE,PAL,N-HOB,2024-06-19T07:00:00.000Z,,4960
"M,명",PETREL PACIFIC,SKI 1,DONG,2024-06-19T11:30:00.000Z,,29403
S,SHANG HUA,PAL,N21,2024-06-19T05:00:00.000Z,KI,1733
"F2,K",MERCATOR,E1GT,DONG,2024-06-19T10:30:00.000Z,,52121
Q,XIN HAI 699,N12,PAL,2024-06-19T02:00:00.000Z,NS,2995
"E,N",WOOLIM 7,SKI 4,PAL,2024-06-19T09:00:00.000Z,,8072
진,BR FAIRY,30,PAL,2024-06-19T12:00:00.000Z,,2509
O,KWANGYANG SUNSHINE,PAL,N11,2024-06-19T06:00:00.000Z,LY,2709
"V,T",EVER CHASTE,PAL,ICT1,2024-06-19T11:00:00.000Z,,17943
"B,T",JINYANG,SSC,PAL,2024-06-19T03:00:00.000Z,JJ,6200
"X,Y,송,D",KOOL FROST,JANG,LNG2,2024-06-19T10:30:00.000Z,,102100
"L,I",MONICA,NPPS,SNCT2,2024-06-19T02:00:00.000Z,HY,17801
V,HUADONG PEARL 8,PAL,NIPT5,2024-06-19T08:30:00.000Z,CG,35092
S,WOO DONG,SOD1,PAL,2024-06-19T08:00:00.000Z,,8581
"K,성",A ROKKO,NPPS,HJIT2,2024-06-19T12:00:00.000Z,,9562
"D,G",HMM PROMISE,NPPS,SNCT1,2024-06-19T06:00:00.000Z,CH,114023
"N,R",DL AMBER,SKI 2,PAL,2024-06-19T10:30:00.000Z,,7333
"K,D",SITC XINGDE,NPPS,HJIT1,2024-06-19T02:00:00.000Z,CG,18820
"Y,송,L,C",MARAN GAS AMPHIPOLIS,LNG2,DONG,2024-06-19T10:00:00.000Z,,113037
T,수성 2,SAMPYO,PAL,2024-06-19T00:30:00.000Z,,5963
"I,C,L",HALLASAN EXPLORER,JANG,E1GT,2024-06-19T13:00:00.000Z,,48735
"E,T",CHANG YAHNG,PAL,SSC,2024-06-19T12:30:00.000Z,,5996
"K,I",KMTC SURABAYA,NPPS,HJIT2,2024-06-19T23:30:00.000Z,,28517
F3,XUTRA BHUM,ICT2,PAL,2024-06-19T19:00:00.000Z,,24181
K,SKY HOPE,NPPS,HJIT1,2024-06-19T18:00:00.000Z,,9742
"윤,진",VW FORTUNE,50,PAL,2024-06-19T17:00:00.000Z,,6566
"Q,S",KEOJE CORDELIA,PAL,N-HOB,2024-06-19T16:30:00.000Z,,8689
"S,N",FC DELLA,PAL,SOD1,2024-06-19T14:00:00.000Z,,4956
"미,R",EXPRESS STAR,N21,PAL,2024-06-19T13:00:00.000Z,,5138
"B,Z,V,비,명",GLOVIS COURAGE,PAL,60,2024-06-19T22:30:00.000Z,,59060
"동,진",KWANGYANG FRONTIER,60,PAL,2024-06-19T19:00:00.000Z,,4388
"비,명",WOOYANG CLES,22,24,2024-06-19T17:30:00.000Z,,26303
"L,I",KMTC LAEM CHABANG,NPPS,HJIT3,2024-06-19T17:00:00.000Z,,18318
"F2,A,J",THALASSINI NIKI,YHD3,DONG,2024-06-19T14:00:00.000Z,,93245
I,WAN HAI 332,HJIT3,NPPS,2024-06-19T14:00:00.000Z,,32120
W,HIROAN,N22,PAL,2024-06-19T12:30:00.000Z,,1528
"해,동,윤",EMMA OLDENDORFF,72,PAL,2024-06-19T22:00:00.000Z,,25431
"미,W",BBC DIRECTION,N15,PAL,2024-06-19T18:00:00.000Z,,7223
K,POS BANGKOK,NPPS,SNCT3,2024-06-19T17:00:00.000Z,,18085
"Q,W",RUIEN 7,PAL,N53,2024-06-19T17:00:00.000Z,,7887
"A,F3,D",SM CHALLENGER,JANG,YHD3,2024-06-19T14:00:00.000Z,,51158
"K,L",YA LU JIANG,NPPS,SNCT3,2024-06-19T23:30:00.000Z,,5250
"S,Q",KTS WHITE,PAL,GSD,2024-06-20T19:30:00.000Z,,2101
"A,D",KOREA VENUS,PAL,GS-HD,2024-06-20T14:00:00.000Z,,39543
"S,미",SUN OCEAN,PAL,N11,2024-06-20T13:00:00.000Z,,5093
I,KMTC LAEM CHABANG,HJIT3,NPPS,2024-06-20T12:00:00.000Z,,18318
"O,W",ES ROSE,PAL,N-HOB,2024-06-20T10:00:00.000Z,,5589
,BRIDGE WATER 168,PAL,SICT1,2024-06-20T07:30:00.000Z,JH,2658
"해,동,윤",SPRING BREEZE,42,DONG,2024-06-20T01:30:00.000Z,UM,21699
"R,S",DL RUBY,PAL,SKI 1,2024-06-20T07:00:00.000Z,,6716
"Q,W",MEGA PIONEER,JAK,KIST,2024-06-20T05:00:00.000Z,US,3543
"해,동,윤",EMMA OLDENDORFF,72,PAL,2024-06-20T03:30:00.000Z,CG,25431
"명,동,해",GLOVIS COURAGE,60,DONG,2024-06-20T23:30:00.000Z,,59060
"F2,C",HMM PROMISE,SNCT1,NPPS,2024-06-20T18:00:00.000Z,,114023
"I,성",PACIFIC BEIJING,NPPS,SNCT3,2024-06-20T21:00:00.000Z,,9940
미,XIN HAI 799,PAL,N16,2024-06-20T16:00:00.000Z,,2998
"N,O",JN IRIS,W9,SKI 1,2024-06-20T20:30:00.000Z,,8252
"Z,J,V,F3,Z",EAGLE VICTORIA,SKI 3,DONG,2024-06-20T14:30:00.000Z,,154163
"X,Y,D,C",KOOL FROST,LNG2,DONG,2024-06-20T13:30:00.000Z,,102100
"해,진",GOLD EAGLE,43,PAL,2024-06-20T18:00:00.000Z,,5580
"R,해,동",SWIFT ARROW,21,PAL,2024-06-20T13:00:00.000Z,,28157
"I,성",YA LU JIANG,SNCT3,NPPS,2024-06-20T11:00:00.000Z,,5250
T,BIRYONG,PAL,NIPT2,2024-06-20T09:30:00.000Z,JJ,14614
E,BAL STAR,E1CT,PAL,2024-06-20T07:00:00.000Z,BC,7409
"E,M",MOUNT RAINIER,JANG,N22,2024-06-20T01:30:00.000Z,SC,19887
,SKY HOPE,HJIT2,NPPS,2024-06-20T07:00:00.000Z,,9742
"M,해,동,진",CHANG SHIN,PAL,36,2024-06-20T04:00:00.000Z,JU,9223
"S,N",FC DELLA,PAL,SOD1,2024-06-20T02:00:00.000Z,,4956
M,CHANG YAHNG,SSC,PAL,2024-06-20T18:00:00.000Z,,5996
O,PEGASUS GLORY,PAL,E1CT,2024-06-20T23:00:00.000Z,,9908
"K,성",CONCERTO,NPPS,HJIT2,2024-06-20T17:00:00.000Z,,9972
"A,H,G,비,G",YOUNG SHIN,PAL,40,2024-06-20T21:00:00.000Z,,47677
"F2,B",HALLASAN EXPLORER,E1GT,DONG,2024-06-20T14:30:00.000Z,,48735
"O,W",XIN YU JIN XIANG,PAL,NIPT6,2024-06-20T20:00:00.000Z,,12304
E,수성 1호,PAL,SAMPYO,2024-06-20T14:30:00.000Z,,5969
"V,E",ARDMORE EXPLORER,JANG,SKI 3,2024-06-20T13:30:00.000Z,,29993
"H,B",PORTO GERMENO,NPPS,HJIT3,2024-06-20T12:00:00.000Z,,66573
G,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-20T10:30:00.000Z,,32729
"K,L",WANHAI 283,NPPS,SNCT2,2024-06-20T08:00:00.000Z,BC,20924
"K,I",POS BANGKOK,SNCT3,NPPS,2024-06-20T07:00:00.000Z,CH,18085
"S,R",KEOJE CORDELIA,N-HOB,PAL,2024-06-20T06:30:00.000Z,,8689
W,JAEWON STELLA,JAK,KIST,2024-06-20T03:30:00.000Z,NS,2676
"Q,W",BEI JIANG,KICT,PAL,2024-06-20T02:00:00.000Z,JU,5250
"I,K",KMTC NAGOYA,NPPS,SNCT1,2024-06-20T18:00:00.000Z,,17933
"T,R",SAWASDEE RIGEL,PAL,ICT1,2024-06-20T22:00:00.000Z,,18072
"S,N",WOO DONG,PAL,SKI 2,2024-06-20T16:00:00.000Z,,8581
"성,I",AN DONG 68,NPPS,SNCT1,2024-06-20T21:00:00.000Z,,3988
"송,X,Y,C,L",ZARGA,JANG,LNG2,2024-06-20T14:30:00.000Z,,163922
N,TY IRIS,PAL,N11,2024-06-20T17:30:00.000Z,,4105
W,유진,JANG,YHD(IN)2,2024-06-20T18:30:00.000Z,,4727
M,STARSHIP DRACO,PAL,ICT1,2024-06-21T18:00:00.000Z,,18354
성,PACIFIC BEIJING,SNCT3,NPPS,2024-06-21T12:00:00.000Z,,9940
O,WEN CHENG,E4,N53,2024-06-21T15:30:00.000Z,,2423
B,PORTO GERMENO,HJIT3,NPPS,2024-06-21T12:00:00.000Z,,66573
성,TY IRIS,N11,PAL,2024-06-21T15:00:00.000Z,,4105
"B,Z",OOCL AMERICA,NPPS,SNCT1,2024-06-21T10:00:00.000Z,,66046
W,동방루비,PAL,N11,2024-06-21T14:00:00.000Z,,2879
"미,W",WOO DONG,SKI 2,PAL,2024-06-21T09:30:00.000Z,,8581
K,CONCERTO,HJIT2,NPPS,2024-06-21T07:00:00.000Z,CH,9972
I,KMTC SURABAYA,HJIT1,NPPS,2024-06-21T05:30:00.000Z,KK,28517
"E,N",FC GRACE,E6,N-HOB,2024-06-21T04:00:00.000Z,,4960
"O,V",XIN YU JIN XIANG,PAL,NIPT6,2024-06-21T00:40:00.000Z,UM,12304
N,K GAS,PAL,SOD1,2024-06-21T21:30:00.000Z,,1002
"G,T",ARDMORE EXPLORER,SKI 3,W10,2024-06-21T18:00:00.000Z,,29993
"W,N",RUIEN 7,N53,PAL,2024-06-21T16:00:00.000Z,,7887
"K,L",A ROKKO,NPPS,HJIT2,2024-06-21T12:00:00.000Z,,9562
E,HARMONY YUN GANG,PAL,NIPT1,2024-06-21T15:00:00.000Z,,35187
"성,I",AN DONG 68,SNCT1,NPPS,2024-06-21T10:00:00.000Z,,3988
"O,S",TIAN ZHUI,PAL,N21,2024-06-21T14:30:00.000Z,,8574
"O,진",JINHUA 11,PAL,41,2024-06-21T10:00:00.000Z,,1753
"S,N",KTS WHITE,GSD,PAL,2024-06-21T09:00:00.000Z,,2101
"A,H",KOREA VENUS,GS-HD,PAL,2024-06-21T13:30:00.000Z,,39543
"성,K",XIN TAI PING,NPPS,HJIT1,2024-06-21T06:30:00.000Z,KK,5275
"E,Q",ES ROSE,N-HOB,PAL,2024-06-21T04:00:00.000Z,JJ,5589
"W,미",WOO GUM,PAL,SOD1,2024-06-21T03:00:00.000Z,,2361
"R,T",MOUNT RAINIER,N22,DONG,2024-06-21T22:00:00.000Z,,19887
E,PEGASUS GLORY,E1CT,PAL,2024-06-21T21:00:00.000Z,,9908
R,SAWASDEE RIGEL,ICT2,PAL,2024-06-21T18:00:00.000Z,,18072
Q,JAEWON STELLA,KIST,JAK,2024-06-21T16:00:00.000Z,,2676
"성,I",REVERENCE,NPPS,SNCT3,2024-06-21T12:00:00.000Z,,9990
L,PEGASUS DREAM,NPPS,HJIT1,2024-06-21T15:00:00.000Z,,9924
Z,KMTC NAGOYA,SNCT1,NPPS,2024-06-21T10:00:00.000Z,,17933
"R,N",ARAFURA LILY,PAL,NIPT6,2024-06-21T14:00:00.000Z,,12335
"비,명,해",ANDRIA,73,PAL,2024-06-21T10:00:00.000Z,,39643
J,HUADONG PEARL 8,PAL,NIPT5,2024-06-21T08:30:00.000Z,LY,35092
"Q,S",JN IRIS,SKI 1,PAL,2024-06-21T13:00:00.000Z,,8252
L,STARSHIP AQUILA,NPPS,SNCT2,2024-06-21T06:00:00.000Z,,18064
L,WANHAI 283,SNCT2,NPPS,2024-06-21T04:00:00.000Z,JH,20924
Q,SUN OCEAN,N11,PAL,2024-06-21T01:00:00.000Z,,5093
"L,I",KMTC HAIPHONG,NPPS,SNCT2,2024-06-21T22:00:00.000Z,,18370
"F2,L",MAERSK NINGBO,NPPS,HJIT2,2024-06-21T20:00:00.000Z,,26404
T,수성 1호,SAMPYO,PAL,2024-06-21T14:00:00.000Z,,5969
E,LINA,PAL,SAMPYO,2024-06-21T15:30:00.000Z,,6983
"R,M",SHIN YANG,PAL,SSC,2024-06-21T14:00:00.000Z,,6422
"성,Q",DOOLA #5,PAL,N-HOB,2024-06-21T15:00:00.000Z,,3599
"N,O",FC DELLA,PAL,N-HOB,2024-06-21T23:00:00.000Z,,4956
"W,미",OCEAN GAS,PAL,SKI 1,2024-06-21T20:30:00.000Z,,3678
"I,L",SITC SHANGHAI,NPPS,HJIT2,2024-06-22T17:00:00.000Z,,17119
S,WEN CHENG,N53,PAL,2024-06-22T16:00:00.000Z,,2423
W,FC DELLA,N-HOB,PAL,2024-06-22T12:00:00.000Z,,4956
M,STARSHIP DRACO,ICT1,PAL,2024-06-22T12:00:00.000Z,,18354
I,SKY RAINBOW,NPPS,HJIT3,2024-06-22T11:00:00.000Z,,17944
"H,F3,B,V,명",BCH BRAMBERG,PAL,20,2024-06-22T06:00:00.000Z,CH,36303
E,BIRYONG,PAL,NIPT2,2024-06-22T09:30:00.000Z,,14614
"M,R",MORNING STAR,PAL,RHC,2024-06-22T04:00:00.000Z,,6117
"송,X,Y,C",ZARGA,LNG2,DONG,2024-06-22T07:30:00.000Z,UM,163922
S,XIN HAI 799,N16,PAL,2024-06-22T00:30:00.000Z,BJ,2998
I,MAERSK NINGBO,HJIT2,NPPS,2024-06-22T07:00:00.000Z,KK,26404
"I,K",XIN HE DA,NPPS,HJIT1,2024-06-22T21:30:00.000Z,,7808
"K,L",WANHAI 232,NPPS,SNCT1,2024-06-22T17:00:00.000Z,,17751
"J,L",OOCL AMERICA,SNCT1,NPPS,2024-06-22T16:00:00.000Z,,66046
